Country,Year,Energy Type,Production (GWh),Installed Capacity (MW),Investments (USD),Population,GDP,Energy Consumption,Energy Exports,Energy Imports,CO2 Emissions,Renewable Energy Jobs,Government Policies,R&D Expenditure,Renewable Energy Targets,Average Annual Temperature,Annual Rainfall,Solar Irradiance,Wind Speed,Hydro Potential,Geothermal Potential,Biomass Availability,Energy Storage Capacity,Grid Integration Capability,Electricity Prices,Energy Subsidies,International Aid for Renewables,Public Awareness,Energy Efficiency Programs,Urbanization Rate,Industrialization Rate,Energy Market Liberalization,Renewable Energy Patents,Educational Level,Technology Transfer Agreements,Renewable Energy Education Programs,Local Manufacturing Capacity,Import Tariffs on Energy Equipment,Export Incentives for Energy Equipment,Natural Disasters,Political Stability,Corruption Perception Index,Regulatory Quality,Rule of Law,Control of Corruption,Economic Freedom Index,Ease of Doing Business,Innovation Index,Number of Research Institutions,Number of Renewable Energy Conferences,Number of Renewable Energy Publications,Energy Sector Workforce,Proportion of Energy from Renewables,Public-Private Partnerships in Energy,Regional Renewable Energy Cooperation
India,2010,Wind,91946.61490188426,46526.03501721793,2979264242.914747,819890449,124421138033199.5,883549.1209687594,72708.25005466615,96055.22675605745,437529.790018632,103788,1,2317398453.7781816,1,27.442775204920167,2333.3247808477036,299.5108871191929,3.6711892087386255,6.14624127255512,38.11885750617216,49.035851417240494,863.9573757965652,0.6715294989745145,0.28065193939201305,318818332.7957275,275315044.476279,0.3312846651079926,1,3.1474368993249846,34.032653915742884,1,661,6.036861708149929,1,1,66.6621826410454,27.67005808348881,98.51349878469684,0,6.08326763240359,5.932003636698822,1.9063811914951534,3.4191023681614343,2.5637104807088584,6.9551233497083365,53.31840037318452,4.2940683055178175,918,39,9752,172796,8.312129671790846,1,0
Canada,2014,Geothermal,80750.68343690365,39027.344554144256,9925332814.52207,116459754,28471436841164.016,350075.8843441977,70974.17109880845,61243.218113951305,374325.0995542959,824313,1,5275322699.271859,0,36.213421769155886,860.5226541203706,212.54361994878144,9.170181960289824,54.97492327555496,61.80992133459896,57.28778535491852,795.0680471828613,0.759165224487957,0.08841774014102335,84658641.94735733,302332358.4190019,0.5873739056938931,1,52.624702403803106,11.951580603020162,1,124,2.950482128938795,1,0,90.2580790011243,95.1233145111181,99.39449315207712,0,0.21986487392370413,6.0530654691591295,4.89342474947804,5.654742855502375,0.8123201438246075,1.8551710326354054,24.28823159364306,68.43412541742715,372,93,2985,568491,42.124015432038064,0,0
Canada,2013,Biomass,98397.81492178058,16191.486094765141,1783535397.9470942,1205275849,196438924682760.25,7977.214012582198,2176.6571906755835,46554.8047436462,111308.65351066498,970573,1,8352957170.022501,1,10.912051091467632,2074.369679554795,173.90135049504153,4.879056067691305,18.3906820385465,23.10650132750317,52.33051765404482,640.0559584608727,0.23757129349875772,0.46546487315344803,887200615.0734271,454269940.7905893,7.537720336986139,0,21.122396720601532,1.7637552521024835,0,749,7.2573719117017585,1,1,48.669771433695274,91.79151946956812,57.92744477994339,0,3.6097590272757585,6.1236880782309395,8.800917795667084,3.328030055412455,6.248048652286672,13.76699316006228,17.3045489075341,45.56049467864908,428,37,4280,950593,71.15674008048582,0,1
Canada,2007,Solar,20322.54443780233,10828.341221348928,4639469254.155021,1040200869,151359990494526.8,988690.2203134638,17157.931007760853,10527.265655232692,112176.25792479671,230374,1,6688485693.398614,1,27.2321220362318,2847.2370035504964,243.51884332258092,4.453305486378396,6.235081896014227,77.2229132399157,0.8177925872476011,885.0460783605554,0.7559597116215715,0.17723964235069967,63101031.32016354,245786667.1741703,6.925051817926514,1,58.86613455321071,18.907276742091472,1,596,1.9054697031532242,0,0,22.029240471973576,70.87436347774792,51.47887244494787,1,6.551374326281082,0.9189792029631216,8.81521825338784,5.9141599117784285,7.110194643374155,17.075922674188693,31.75094355118514,10.423607989059057,449,35,4232,101904,30.248075794895477,0,1
Russia,2013,Solar,7323.636887704843,5827.46110865491,1731276894.1487033,255134878,168115101190195.94,295626.6886339421,64711.2127933772,19780.11825395378,215858.4587083361,855186,0,2937554592.0920424,1,8.262476100405344,117.15582891026176,280.29312179366343,2.654530532548505,64.94450478671914,83.05031920194149,69.38685507174723,5.27762936146551,0.13034915961271665,0.15775943106934054,838498024.2861377,35499496.96325099,7.676731208924358,1,97.81709196089953,92.16333340522684,1,625,1.0028605663536116,1,1,87.19742758634978,29.15056040273606,99.29328025914621,1,2.091264103706526,2.140101344111419,4.258988594475131,6.129737455532115,3.9683050649749765,42.231088244970906,24.85862238132267,27.947102564928716,315,76,3924,976011,29.85801196982656,0,1
India,2004,Wind,6542.685310757911,28501.287101721682,9180527158.192877,531406015,68718655963285.3,278368.4633717547,20948.178955846033,75842.92072059395,758468.8908525611,454865,1,3785552393.8193293,0,-6.368974540331004,2078.0353994668394,182.64878289828937,12.475753620555206,63.329486492372745,60.593072926265876,20.538019016647723,481.9929248820221,0.15370401611988704,0.12631190274299633,279580704.9302008,153343205.1376703,3.913416678048829,1,4.771827800312323,18.223692927215595,0,874,6.214947673958137,0,1,48.065707672876435,37.3430268686109,1.4098322081528392,0,5.954736752626598,0.7595623728603296,5.269944254650996,7.503268276687231,6.020744196466118,34.19213815488027,64.77693369950705,31.318811024535677,205,8,586,302723,36.419654217022355,1,1
Germany,2019,Geothermal,17502.139799368604,26502.994248889794,408490766.705338,189017849,27460634720824.824,32557.915405145464,10745.383876811991,16792.261967561357,170377.05135220132,258425,0,3128713344.742936,1,17.106886912599343,2670.289879994529,202.00918118950662,13.294220676151852,35.71027061685188,53.39283505593314,96.65212471898406,499.4799411927454,0.4470491611444237,0.3657602640130078,598376589.005415,412154842.5781591,9.912118650667413,0,79.27801576143091,26.520089403411752,1,717,3.8013860324753646,0,0,19.7506748870113,56.30514857319141,23.03820211455997,1,3.3820222978771097,4.332120909058112,9.088724595055213,7.779085741090937,2.637590963257601,65.25969591597989,3.5452330434331047,32.8494095952415,981,27,3866,600386,67.21384141491981,1,1
Japan,2023,Hydro,14777.088878993909,28986.542237355272,1316801464.8955505,898948417,112776458569605.58,240448.87198653846,54523.65520604107,35630.662040374,991128.8350933085,599552,0,3940056952.5406055,1,6.013800952481976,2052.46723275109,221.82863391030085,3.4509943918592745,50.11860133032611,66.7154747422506,64.39067132510633,277.71259525148463,0.7066929217021046,0.06896504505608701,596615351.2825507,319150196.413527,9.409104634550767,0,57.72975882539381,50.2921888762895,1,241,9.873842626459773,0,0,72.09975635631581,31.274644740390023,52.08506552581683,1,5.657906036948953,3.105857357866808,5.254288049613357,8.208326836670407,6.675696749663357,16.571964895064827,98.74809673744721,47.65621353470467,192,1,4835,642781,2.3767007502126125,0,1
France,2019,Solar,28474.759339284865,24303.230899400278,21020901.658146262,620172080,20213241819675.21,495218.35246937035,25933.88969130419,19803.591620668056,547101.922244398,991941,1,9452069832.79238,0,13.788417587359284,729.4356833501922,296.37087373387016,10.19779148601614,44.23059607205793,72.7133977936275,60.447249695544734,903.5054969015803,0.5029866639546225,0.4457346420720842,736504659.9347099,241285238.70237985,6.409704815574706,0,25.360239200412515,28.318687428924648,0,304,7.524442436435619,1,1,50.76555772093987,9.7182352809571,39.501363961254924,0,5.167403155530713,5.030326235366997,9.966985628623492,8.06121627776523,1.1474954744394161,7.936106979594326,22.308083036968775,2.838242848582595,411,7,7589,591570,69.04194554083456,0,1
Germany,2002,Wind,3515.8485498481546,26439.043239975945,5976202996.9170475,1141999257,185300334322771.28,643774.8059454645,11828.478216945816,48644.04347074946,328861.0606664828,556509,0,7240117660.722334,0,5.834415069436126,128.63962905656965,226.47672851645362,2.0809257972760604,88.35281125845626,61.32735789547279,53.07132116449409,922.4013731751808,0.766913943755742,0.4546188276483685,173377487.71662256,894932804.7449617,3.035794918048209,0,18.950788716369406,72.1990900457574,1,586,4.202074957343486,1,0,36.49332662382777,30.33273486000889,43.441910040977746,1,0.29065191098500254,1.514207534820684,3.5632950881793137,4.558555873171914,1.9179863554085474,25.837039153212217,54.949668595390875,40.64821187109962,208,19,9898,687078,81.90956717676701,1,0
France,2008,Biomass,1072.7124694327001,7822.08165111455,8371581376.8001795,934790960,165523677074542.9,931958.518089281,61877.451373047086,87793.37706855038,676454.4529022592,921555,0,967285075.03813,1,8.619295371142634,2825.866891851391,255.79315471115706,8.909255188814246,48.029109373991766,70.84810854469534,41.17856726201945,376.9631483162311,0.22413443645763875,0.47650004617117153,477969782.6866054,601346959.1593848,6.025488651469604,0,58.92282377004982,80.78293712734458,1,446,9.299568330630445,1,0,25.521489573076895,36.30660251391274,69.17926993174216,1,1.57457815712574,9.992970808697152,7.676678417383837,1.8114239419735378,9.268190789653431,12.354418681957235,33.056365612251746,39.16201985219448,832,2,6793,597759,0.03382897759939274,0,1
France,2014,Solar,43969.67652534624,15713.420563067046,6996068074.199007,197990713,65820663555887.805,671660.5537326628,55431.6170096855,64905.943530690514,114813.20047264335,587650,0,649375733.7519226,0,9.65013817672639,2153.136915745302,209.69258497791157,11.470673200807092,64.61539605482766,38.8048268834624,22.99341401859396,650.6890676276955,0.8489672840409552,0.20565204643947022,696033896.0572269,42235124.030246474,3.9729058753052504,0,27.61454491985168,2.2412695436212937,1,167,0.10567469007744079,0,0,81.8419209326949,55.2242016506948,52.082320221481794,0,1.7832393578652783,4.777582735468119,8.255962778807453,4.918991414291982,5.142963738209463,82.08055391707798,12.030621560232134,31.789940876669377,623,65,3041,307523,71.87563350717893,0,1
Brazil,2010,Solar,39491.78695895466,14223.860946024794,1472171372.2569776,636023248,9004019196367.979,290910.88831251144,94385.89587649652,45123.84515584655,369447.5624764189,884874,1,9703166645.986912,0,33.18611329498673,1648.335502118631,243.30283183035306,7.124636370795834,82.89625581048385,6.150711246876384,72.30371740399467,300.65585974651856,0.5857832066538979,0.44219943142796203,489794414.7156641,214701120.72696525,4.2203726574212155,1,61.74910053969683,89.66088628726786,1,332,5.456974769519807,0,1,81.39819477363005,97.76334307441759,66.24252029047844,1,3.801466022594578,8.60829890035779,4.980695011498218,5.796694805801844,8.779195828657738,19.301395722560834,6.804171872527165,9.238379271219477,98,57,8895,494,32.26960956550781,0,1
Germany,2007,Wind,35102.80524775364,17363.985906788243,5124903676.065121,810530992,117271182560054.61,445969.3022736861,50496.65967277928,24314.12431826231,965260.3145619135,896954,0,1364767502.5393567,0,26.768498790941138,349.15668413939176,256.63870114989044,6.99799317883873,48.36598429482331,73.66408179108605,90.63334500201118,213.27138839803789,0.7056128082766725,0.49161425849265067,638573381.3299423,731513438.2618338,7.259337800605117,1,16.90315743082116,7.38922125579724,1,8,2.2449634858974745,0,1,29.297738902663294,94.45721039094434,85.26118771094924,0,1.5457352527725066,8.238026744701397,3.6861799038133802,9.745612038735146,4.8470042175436925,33.28119217851757,34.931186940690104,33.427508385518415,583,27,2927,612093,39.09763406884781,0,0
India,2021,Wind,75015.10932555415,21087.563715528097,4916894561.795905,613191835,57095133998912.33,85751.93626589805,56360.5703185572,80690.39384920581,256029.47464676984,851675,0,7183075262.194065,1,33.88781372111146,2380.9235970345712,174.88922869516267,5.628846559272215,92.59861204167396,85.24585614741824,32.032930214450175,697.4560800957285,0.5894454204723004,0.1942315166620202,416123157.0846033,645139314.7905997,8.810662210014726,1,56.284005419709004,27.197834989363002,0,973,3.199752222500427,0,1,77.4036633945223,53.099332300422176,66.19284920882862,0,2.488498875400067,5.668385929025039,7.066246408266428,8.65958715766731,7.245673298617254,22.905143303475796,13.307066182229576,36.563223075111274,12,41,6383,219917,39.99653705684759,1,0
USA,2005,Wind,55487.02241406713,13187.616682209558,4972807916.14054,710170825,116071903764484.14,985035.7101029604,48007.27519947862,40046.29202302176,684123.8410588611,521931,0,6633565665.041131,0,-6.598321094923989,2959.5951354667664,148.37196523390764,4.897013503984401,23.796845176249313,32.61357213925828,46.94724998212171,409.99557011556556,0.5463334495536961,0.3232470705370681,808790814.4344627,802183880.4548885,0.6629078393138521,1,77.02205603736662,23.93423223363126,1,93,3.627259286328326,1,1,93.34816268402206,64.98121123696404,76.06696601266839,0,7.013509663153197,2.8234549088601755,3.078778776815929,6.591428255781771,8.592916273213865,73.19002603644822,27.681271646171048,60.332998462642394,220,95,9622,442797,57.057513554938474,0,0
France,2010,Geothermal,62387.57054961306,21564.61795344399,7535222387.453657,1337802427,7257163665062.447,67563.88537953979,32121.44837853029,94099.33552868168,217082.03355198228,529241,0,4171877997.9240513,1,3.5440502119139374,1367.1796287918194,223.57304147663413,10.966501595241127,44.53510640714723,52.09675647029564,10.99862732522583,765.8771688835725,0.6327761067659172,0.4128567103570536,652865572.0261123,303419292.0835469,1.2066597339116703,1,2.536697328376636,18.609296422900634,1,55,8.08339419882472,0,1,28.6158253911316,43.81525364156702,2.135761823731619,1,4.411754822373293,7.5914926427084435,2.077113501881632,3.8298045179718256,5.031427717341163,67.11059976306359,29.074258016462238,19.99442490813873,382,55,4177,192065,32.258382800335426,1,1
Russia,2020,Hydro,54157.627071831324,412.70126832086044,6394575200.992687,188910945,115366382929304.55,140334.6542407256,44736.96210316354,11785.072810558802,912903.2483564318,220529,1,1880145938.1915789,1,-9.348936222046486,1919.2294561683327,156.65835232696853,1.3211159210863594,63.30020629389814,39.30798245349523,77.08179971990933,289.98483949920046,0.012089128726638587,0.4615449525061122,287836553.60477793,391906162.4791645,9.451359453498757,1,12.46008548384011,57.63482526629309,1,350,9.599029036435693,1,1,53.41315918218575,90.36603350265098,4.653612688864072,0,6.6444114714257445,8.03997678360298,8.725400811927045,7.811003875635974,5.569240826987376,62.49528474008312,21.004057873102166,50.98420948266033,835,36,8475,962904,58.91579108496183,0,1
Russia,2010,Biomass,3204.9795228946746,24196.751583573026,5061422754.425084,1075716108,94549790212522.17,723871.3862377872,71006.09731560515,61336.41603487364,932965.6165446627,303989,1,5594875353.853411,0,24.439189802662398,1664.1516884971518,177.3843139904382,7.692859033096072,78.98410590758968,72.70054349549481,31.421886219229744,85.26190869409986,0.2555212958228066,0.21253061631089254,300312691.5491179,862927547.1473975,1.443126053443109,1,30.548450686338136,0.6234726472262975,0,713,6.006919883348577,1,1,98.98286309332998,78.98799530377477,34.99048102905934,0,1.5561599429897022,1.1974487221212449,9.88754986852991,9.99963000633851,6.677714891705242,28.075115358056134,0.934937472234254,79.68418004735807,469,94,6506,707607,84.59438633146836,1,0
Japan,2022,Hydro,47146.188364672314,29106.288174617846,8045717983.016642,762402801,145905615255410.1,894909.7572225529,33238.824758359835,93759.1415654263,19800.920998042562,567964,0,2457893038.5565977,1,31.06919676855368,1436.4813598535604,154.400601748157,5.516974980013153,56.548447499818266,3.4249758895039673,86.3680961012313,743.5547311869823,0.7665655028212924,0.150579532560558,600601285.6254297,548571772.6706443,3.0473638929485714,0,94.52329464626932,35.662866345519184,1,113,1.7718844188105065,1,0,9.00423705458181,94.06979153533197,6.469032070877489,0,3.827647628439318,8.505595996574007,4.395440592070309,6.009769581023569,7.656236864179958,55.820052136620305,28.36344083136513,47.40039037941454,504,31,2072,822745,15.212764197747841,1,0
